360	04.15.01.05.005	Instalasi Air Bersih Lain-lain
361	04.15.02.01.001	Instalasi Air Buangan Domestik Kapasitas Kecil
362	04.15.02.01.002	Instalasi Air Buangan Domestik Kapasitas Sedang
363	04.15.02.01.003	Instalasi Air Buangan Domestik Kapasitas Besar
364	04.15.02.01.004	Instalasi Air Kotor Lain-lain
365	04.15.02.02.001	Instalasi Air Buangan Industri Kapasitas Kecil
366	04.15.02.02.002	Instalasi Air Buangan Industri Kapasitas Sedang
367	04.15.02.02.003	Instalasi Air Buangan Industri Kapasitas Besar
368	04.15.02.02.004	Instalasi Air Buangan Industri Lain-lain
369	04.15.02.03.001	Instalasi Air Buangan Pertanian Kapasitas Kecil
370	04.15.02.03.002	Instalasi Air Buangan Pertanian Kapasitas Sedang
371	04.15.02.03.003	Instalasi Air Buangan Pertanian Kapasitas Besar
372	04.15.02.03.004	Instalasi Air Buangan Pertanian Lain-lain
373	04.15.03.01.001	Instalasi Pengolahan Sampah Organik Sistem Pembakaran
374	04.15.03.01.002	Instalasi Pengolahan Sampah Organik Sistem Kompos
375	04.15.03.01.003	Instalasi Pengolahan Sampah Organik Sistem Penimbunan
376	04.15.03.01.004	Instalasi Pengolahan Sampah Organik Lain-lain
377	04.15.03.02.001	Instalasi Pengolahan Sampah Non Organik Daur Ulang
378	04.15.03.02.002	Instalasi Pengolahan Sampah Non Organik Daur Ulang
379	04.15.03.02.003	Instalasi Pengolahan Sampah Non Organik Lain-lain
380	04.15.04.01.001	Pengawetan Kayu
381	04.15.04.01.002	Pengeringan Kayu
382	04.15.04.01.003	Pengerjaan Kayu
383	04.15.04.01.004	Pengkapuran
384	04.15.04.01.005	Pembuatan Batu Cetak
385	04.15.04.01.006	PEmbuatan Aggregate
386	04.15.04.01.007	Instalasi Pengolahan Bahan Bangunan Lain-lain
387	04.15.05.01.001	PLTA Kapasitas Kecil
388	04.15.05.01.002	PLTA Kapasitas Sedang
389	04.15.05.01.003	PLTA Kapasitas Besar
390	04.15.05.01.004	Instalasi Listrik Tenaga Air Lain-lain
391	04.15.05.02.001	PLTD Kapasitas Kecil
392	04.15.05.02.002	PLTD Kapasitas Sedang
393	04.15.05.02.003	PLTD Kapasitas Besar
394	04.15.05.02.004	Pembangkit Listrik Tenaga Diesel Lain-lain
395	04.15.05.03.001	PLTM Kapasitas Kecil
396	04.15.05.03.002	PLTM Kapasitas Sedang
397	04.15.05.03.003	PLTM Kapasitas Besar
398	04.15.05.03.004	Pembangkit Listrik Tenaga Mikro Lain-lain
399	04.15.05.04.001	PLTAN Kapasitas Kecil
400	04.15.05.04.002	PLTAN Kapasitas Sedang
401	04.15.05.04.003	PLTAN Kapasitas Besar
402	04.15.05.04.004	PLTA Lain-lain
403	04.15.05.05.001	PLTU Kapasitas Kecil
404	04.15.05.05.002	PLTU Kapasitas Sedang
405	04.15.05.05.003	PLTU Kapasitas Besar
406	04.15.05.05.004	PLTU Lain-lain
407	04.15.05.06.001	PLTN Kapasitas Kecil
408	04.15.05.06.002	PLTN Kapasitas Sedang
409	04.15.05.06.003	PLTN Kapasitas Besar
410	04.15.05.06.004	PLTN Lain-lain
411	04.15.05.07.001	PLTG Kapasitas Kecil
412	04.15.05.07.002	PLTG Kapasitas Sedang
413	04.15.05.07.003	PLTG Kapasitas Besar
414	04.15.05.07.004	PLTG Lain-lain
415	04.15.05.08.001	PLTP Kapasitas Kecil
416	04.15.05.08.002	PLTP Kapasitas Sedang
417	04.15.05.08.003	PLTP Kapasitas Besar
418	04.15.05.08.004	Pembangkit Listrik Tenaga Panas Bumi Lain-lain
419	04.15.05.09.001	Instalasi PLTS Kapasitas Kecil
420	04.15.05.09.002	Instalasi PLTS Kapasitas Sedang
421	04.15.05.09.003	Instalasi PLTS Kapasitas Besar
422	04.15.05.09.004	Instalasi Pembangkit Listrik Tenaga SuryaLain-lain
423	04.15.05.10.001	Instalasi PLTB Kapasitas Kecil
424	04.15.05.10.002	Instalasi PLTB Kapasitas Sedang
425	04.15.05.10.003	Instalasi PLTB Kapasitas Besar
426	04.15.05.10.004	Instalasi Listrik Tenaga Biogas Lain-lain
427	04.15.05.11.001	Instalasi PLTSm Kapasitas Kecil
428	04.15.05.11.002	Instalasi PLTSm Kapasitas Sedang
429	04.15.05.11.003	Instalasi PLTSm Kapasitas Besar
430	04.15.05.11.004	Instalasi PLTSm Lain-lain
431	04.15.06.01.001	Instalasi Gardu Listrik Induk Kapasitas Kecil
432	04.15.06.01.002	Instalasi Gardu Listrik Induk Kapasitas Sedang
433	04.15.06.01.003	Instalasi Gardu Listrik Induk Kapasitas Besar
434	04.15.06.01.004	Instalasi Gardu Listrik Induk Lain-lain
435	04.15.06.02.001	Instalasi Gardu Listrik Distribusi Kapasitas Kecil
436	04.15.06.02.002	Instalasi Gardu Listrik Distribusi Kapasitas Sedan
437	04.15.06.02.003	Instalasi Gardu Listrik Distribusi Kapasitas Besar
438	04.15.06.02.004	Instalasi Gardu Listrik Distribusi Lain-lain
439	04.15.06.03.001	Instalasi Pusat Pengatur Listrik Kapasitas Kecil
440	04.15.06.03.002	Instalasi Pusat Pengatur Listrik Kapasitas Sedang
441	04.15.06.03.003	Instalasi Pusat Pengatur Listrik Kapasitas Besar
442	04.15.06.03.004	Instalsi Pusat Pengatur Listrik Lain-lain
443	04.15.07.01.001	Instalasi Perkebunan
444	04.15.07.01.002	Instalasi Peluru Kenali (Rudal)
445	04.15.07.01.003	Instalasi Komunikasi Elektronik (komlek)
446	04.15.07.01.004	Instalasi
447	04.15.07.01.005	Instalasi Radar Lain-lain
448	04.15.08.01.001	Instalasi Gardu Gas LPG
449	04.15.08.01.002	Instalasi Gardu Gas LNG
450	04.15.08.01.003	Instalsi Gardu Gas Lain-lain
451	04.15.08.02.001	Instalasi Jaringan Pipa Gas Primer
452	04.15.08.02.002	Instalasi Jaringan Pipa Gas Sekiunder
453	04.15.08.02.003	Instalasi Jaringan Pipa gas Lain-lain
454	04.15.09.01.001	Instalasi Penangkal Petir Manual
455	04.15.09.01.002	Instalasi Penangkal Petir Komputerisasi
456	04.15.09.01.003	Lain-lain
457	04.16.01.01.001	Jaringan Pembawa Kapasitas Kecil
458	04.16.01.01.002	Jaringan Pembawa Kapasitas Sedang
459	04.16.01.01.003	Jaringan Pembawa Kapasitas Besar
460	04.16.01.01.004	Jaringan Pembawa Lain-lain
461	04.16.01.02.001	Jaringan Induk Distribusi Kapasitas Kecil
462	04.16.01.02.002	Jaringan Induk Distribusi Kapasitas Sedang
463	04.16.01.02.003	Jaringan Induk Distribusi Kapasitas Besar
464	04.16.01.02.004	Jaringan Induk Distribusi Lain-lain
465	04.16.01.03.001	Jaringan Cabang Distribusi Kapasitas Kecil
466	04.16.01.03.002	Jaringan Cabang Distribusi Kapasitas Sedang
467	04.16.01.03.003	Jaringan Cabang Distribusi Kapasitas Besar
468	04.16.01.03.004	Jaringan Cabang Distribusi lain-lain
469	04.16.01.04.001	Jaringan Sambungan Kerumah Kapasitas Kecil
470	04.16.01.04.002	Jaringan Sambungan Kerumah Kapasitas Sedang
471	04.16.01.04.003	Jaringan Sambungan Kerumah Kapasitas Besar
472	04.16.01.04.004	Jaringan Sambungan ke Rumah Lain-lain
473	04.16.02.01.001	Jaringan Transmisi Tegangan Di Atas 300 KVA
